exp_id	timestamp	hypothesis	gen_model	rag_faithfulness	qa_specificity	qa_tone	qa_groundedness	qa_clinical	combined_score	human_baseline	relative_pct	n_pairs_generated	avg_answer_words	gen_temperature	gen_max_tokens	qa_per_source	verdict
1	2026-04-01 20:45:20	Source-preserving: lower temp (0.1), strict verbatim instructions, 2-3 sentence limit. Meeting insight: AI adds extra info vs human data that preserves exact source text. Health domain = one wrong word is dangerous.	gpt-4o-mini	0.6850	0.6733	0.6400	0.9600	0.9200	0.7547	0.9350	73.3	40	29.6	0.1	2500	8	KEEP
2	2026-04-01 20:49:57	Exp2: Keep source-preserving constraint but allow 3-4 sentences and require medication names/dosages/timeframes. Exp1 groundedness=0.96 was great but specificity=0.67 and RAG faithfulness=0.69 need improvement.	gpt-4o-mini	0.4250	0.7667	0.6667	0.9667	0.9600	0.6790	0.9250	45.9	40	38.1	0.1	2500	8	DISCARD
3	2026-04-02 01:46:38	Exp3: Revert to Exp1 source-preserving prompt (2-3 sentences), increase QA_PER_SOURCE from 8→12 for 60 pairs total. Coverage bottleneck: Exp1 had 4 questions scoring 0.0 due to missing topics in 40-pair KB.	gpt-4o-mini	0.6750	0.5733	0.6667	0.9333	0.8400	0.7173	0.9200	73.4	59	25.2	0.1	2500	12	DISCARD
4	2026-04-02 01:51:03	Exp4: Few-shot prompting with 3 gold-standard human QA examples. Revert to QA_PER_SOURCE=8. Exp1 prompt + examples should improve specificity and tone by showing the model what good pairs look like.	gpt-4o-mini	0.6800	0.6333	0.6600	0.9667	0.8933	0.7437	0.9100	74.7	40	26.7	0.1	2500	8	DISCARD
5	2026-04-02 01:55:14	Exp5: Two-pass extraction + temp=0.0. Prompt asks model to first identify key facts from source, THEN compose QA pairs from those facts only. Maximum determinism + explicit grounding step.	gpt-4o-mini	0.6900	0.6933	0.6467	0.9600	0.9000	0.7583	0.8950	77.1	40	32.6	0.0	2500	8	KEEP
6	2026-04-02 01:59:10	Exp6: Keep Exp5 two-pass approach (new best), add adversarial self-check: 'After composing each pair, verify every claim. If any claim cannot be found verbatim in the source, revise or remove it.' Target: boost the 0.5-scoring questions by reducing partial hallucination.	gpt-4o-mini	0.5000	0.6800	0.6733	0.9600	0.9067	0.6833	0.9200	54.3	40	31.4	0.0	2500	8	DISCARD
7	2026-04-02 02:03:33	Exp7: Switch to gpt-4o (from gpt-4o-mini) with Exp5 two-pass prompt. Larger model should produce higher quality QA pairs with better semantic coverage and clinical accuracy. Testing model quality vs cost trade-off.	gpt-4o	0.5550	0.7467	0.7200	0.9600	0.9467	0.7293	0.9000	61.7	40	34.2	0.0	2500	8	DISCARD
8	2026-04-02 03:02:30	Exp8: Category-aware generation. Require each pair to cover a distinct category (medications, withdrawal, coping, health effects, social, financial, methods, prevention). Should maximize topical diversity within each chunk and improve RAG retrieval coverage for varied test questions.	gpt-4o-mini	0.5700	0.7133	0.6867	0.9733	0.9200	0.7233	0.9200	62.0	40	31.3	0.0	2500	8	DISCARD
9	2026-04-02 03:07:13	Exp9: Exp5 two-pass approach but temp=0.2 instead of 0.0. Slight randomness may produce more varied question phrasing, improving semantic diversity in ChromaDB and boosting RAG retrieval hits for diverse test questions.	gpt-4o-mini	0.6800	0.6867	0.6600	0.9533	0.9000	0.7533	0.9350	72.7	40	32.5	0.2	2500	8	DISCARD
10	2026-04-02 03:11:36	Exp10: Exp5 two-pass + retrieval-optimized. Ask model to include relevant medical terms and synonyms in answers (e.g., 'nicotine replacement therapy (NRT)' not just 'NRT'). More keyword surface area = better cosine retrieval matches for varied test questions. temp=0.0.	gpt-4o-mini	0.5700	0.6867	0.6933	0.9667	0.9200	0.7177	0.9350	61.0	40	32.1	0.0	2500	8	DISCARD
